Restaurant Name,Average Rating,Total Popularity
Tea Halt,2.866666667,118
Laxmi Ice Cream,3.55,118
Angeethi,3.05,118
Nirula's Ice Cream,2.4,117
Chawnsan Chef,3.4,117
bu��no,3.75,117
Pasta Hut,3.4,116
Burger Xpress,1.625,116
Chawla's 2,1.7,116
Midnight Hunger Hub,4.033333333,114
Gullu's,3,114
Veg Ex,3.6,113
Rainbows,3.1,113
New Punjabi Khana,3.5,112
Sardar A Pure Meat Shop,1.722222222,112
Coldpress Company,4.05,108
Bats On Delivery,2.7,108
Public Cafe,2.4,107
Punjabi Dhaba,2.2,107
Kolkata Kathi Roll,3.1,106
Oh Buoy,3.35,105
Grillz,2.35,104
Raj Restaurant,2.75,103
Singz,2.7,103
Halki Aanch,3,103
Wagh Bakri Tea Lounge,3.6,102
The Culinary Pitaara,3.5,102
Chawla Family Restaurant,3.05,101
Ovenstory Pizza,2.5,100
Relax Xpress,3.2,100
GoGourmet,2.65,99
Hasty Tasty,2.033333333,99
Shri Ram Restaurant,2.85,98
The Bake Studio,3.35,98
Just Vada Pav,1.2,97
South Cafe,1.75,96
Prince Chaat Corner,3.45,96
Chimney,3.033333333,95
Biryaniwala,2.35,94
Bikano Chat Cafe,2.8,93
Hurry's Paratha,3.5,92
Cakes & Bakes,3.166666667,92
Muradabadi Shahi Biryani & Chicken Corner,1.966666667,92
Sumo Sushi,3.95,91
Madras Dosa & Chinese,1.35,91
Go Kylin,3.15,90
Shankar Fast Food,2.95,89
Flirty Momo's,2.92,89
South Indian Corner,3.4,89
Bikaner Sweets,1.338461538,88
JSB Evergreen Snack & Sweets,3.15,88
Pitstop,1.65,87
Bawarchi,3.125,86
Flavours,3.1,85
BarShala,3.266666667,85
The Dosa King,3.05,84
Bunty Dhaba,2.833333333,84
Madhuvan Chinese Fast Food,2.6,84
Oberoi's,3.4,83
Kings Kulfi,2.266666667,82
Spooky Sky,3.45,82
Vaishno Punjabi Dhaba,3.25,82
Zaaika Junction,2.85,81
Qureshi Kabab Corner,3.65,81
A Piece of Paris,3.75,81
ZASTY,3.5,80
